Untitled Report

Date/Time Generated,11/11/15 3:15 PM
Report Time Zone,Asia/Hong_Kong
Account ID,37103
Date Range,7/20/15 - 10/20/15
Campaign,Equals:SG_ECOM_1502_Display_Room Nights Acquisition 2015 (8479014)

Report Fields
Campaign,Campaign ID,Site (DCM),Placement,Date,Impressions,Clicks,Click Rate,Total Conversions,Click-through Conversions,Total Revenue
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-09,7012,5,0.07,19,7,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-10,6148,6,0.10,3,2,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-11,10369,1,0.01,7,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-12,8958,6,0.07,12,3,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-13,4254,5,0.12,40,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-14,3580,3,0.08,15,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-15,3671,2,0.05,2,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-16,3283,6,0.18,6,2,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-17,2587,0,0.00,29,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-18,2582,0,0.00,9,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-19,2936,2,0.07,8,0,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-20,2990,3,0.10,43,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-21,2420,3,0.12,11,6,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-22,3039,1,0.03,8,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-23,3476,1,0.03,4,1,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-24,4927,4,0.08,8,2,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-25,4418,4,0.09,70,12,0.000000000
SG_ECOM_1502_Display_Room Nights Acquisition 2015,8479014,AMNET,Amnet | AU | ROS_AustraliaandNZ | 160x600 | en | CPM | Standard,2015-08-26,4825,5,0.10,28,13,0.000000000
